Season,Seed,TeamID
2025,W01,1181
2025,W02,1104
2025,W03,1458
2025,W04,1112
2025,W05,1332
2025,W06,1140
2025,W07,1388
2025,W08,1280
2025,W09,1124
2025,W10,1435
2025,W11,1433
2025,W12,1251
2025,W13,1103
2025,W14,1285
2025,W15,1352
2025,W16a,1110
2025,W16b,1291
2025,X01,1222
2025,X02,1397
2025,X03,1246
2025,X04,1345
2025,X05,1155
2025,X06,1228
2025,X07,1417
2025,X08,1211
2025,X09,1208
2025,X10,1429
2025,X11a,1400
2025,X11b,1462
2025,X12,1270
2025,X13,1219
2025,X14,1407
2025,X15,1459
2025,X16,1188
2025,Y01,1120
2025,Y02,1277
2025,Y03,1235
2025,Y04,1401
2025,Y05,1276
2025,Y06,1279
2025,Y07,1266
2025,Y08,1257
2025,Y09,1166
2025,Y10,1307
2025,Y11a,1314
2025,Y11b,1361
2025,Y12,1471
2025,Y13,1463
2025,Y14,1252
2025,Y15,1136
2025,Y16a,1106
2025,Y16b,1384
2025,Z01,1196
2025,Z02,1385
2025,Z03,1403
2025,Z04,1268
2025,Z05,1272
2025,Z06,1281
2025,Z07,1242
2025,Z08,1163
2025,Z09,1328
2025,Z10,1116
2025,Z11,1179
2025,Z12,1161
2025,Z13,1213
2025,Z14,1423
2025,Z15,1303
2025,Z16,1313
