"ID","Pred","Pt_Diff"
"2025_1104_1181",0.28618193029249,-6.27779603004456
"2025_1112_1181",0.207401426773857,-8.94166412353516
"2025_1140_1181",0.188784322653311,-9.67033348083496
"2025_1124_1181",0.171638670201163,-10.3811315536499
"2025_1103_1181",0.0646705667600728,-16.3934500694275
"2025_1110_1181",-0.00255295680462518,-22.0634004592896
"2025_1155_1181",0.271218108166005,-6.74222354888916
"2025_1120_1181",0.503489664365413,0.120077921822667
"2025_1166_1181",0.115576610474771,-13.1411688804626
"2025_1136_1181",0.0273613689688388,-19.4352317810059
"2025_1106_1181",-0.00548251533378382,-22.3194707870483
"2025_1163_1181",0.233974555031057,-7.98050947189331
"2025_1116_1181",0.143729726846121,-11.6636083602905
"2025_1179_1181",0.170176435656056,-10.4425642967224
"2025_1161_1181",0.0933771026535491,-14.4527081489563
"2025_1103_1104",0.149571896036086,-11.3737915992737
"2025_1181_1458",0.746020263054264,7.28564195632935
"2025_1104_1458",0.522345287210645,0.676687923073769
"2025_1112_1458",0.453195736474581,-1.37467695474625
"2025_1332_1458",0.446049670762132,-1.58388332128525
"2025_1140_1458",0.384168814990481,-3.39623296260834
"2025_1388_1458",0.455471346606843,-1.30567597150803
"2025_1280_1458",0.410717995160724,-2.62303578853607
"2025_1124_1458",0.444228657519167,-1.63879978656769
"2025_1435_1458",0.438175559186902,-1.81643121242523
"2025_1433_1458",0.445194900464379,-1.61385120153427
"2025_1251_1458",0.243849440342728,-7.63756241798401
"2025_1103_1458",0.207003168180634,-8.95622539520264
"2025_1285_1458",0.102918739977087,-13.8741763114929
"2025_1352_1458",0.128642410647614,-12.4319854736328
"2025_1110_1458",0.0573022002645752,-16.964289855957
"2025_1291_1458",0.0419337624690785,-18.2008655548096
"2025_1222_1458",0.761116749271667,7.79052309989929
"2025_1397_1458",0.546730368426108,1.40164932012558
"2025_1246_1458",0.504632017265004,0.150880990177393
"2025_1345_1458",0.45200339741089,-1.41439349651337
"2025_1155_1458",0.505087387728878,0.163137255609035
